id,type,format,identifier,references,created,creator,publisher,license,rightsHolder,catalogNumber
67033822,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204609/original.jpeg,https://www.inaturalist.org/photos/108204609,2020-12-24T07:50:18-08:00,Justin Vogel,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Justin Vogel,108204609
67033822,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/108204617/original.jpeg,https://www.inaturalist.org/photos/108204617,2020-12-24T07:49:55-08:00,Justin Vogel,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Justin Vogel,108204617
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935629/original.jpeg,https://www.inaturalist.org/photos/354935629,2014-03-14T19:59:44-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935629
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935624/original.jpeg,https://www.inaturalist.org/photos/354935624,2014-03-14T19:59:09-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935624
201101272,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935627/original.jpeg,https://www.inaturalist.org/photos/354935627,2014-03-14T19:58:49-07:00,hakkahamushi,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,hakkahamushi,354935627
201101278,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935923/original.jpg,https://www.inaturalist.org/photos/354935923,2024-03-03T00:30:00Z,sylphng,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,sylphng,354935923
201101278,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935931/original.jpg,https://www.inaturalist.org/photos/354935931,2024-03-03T00:30:00Z,sylphng,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,sylphng,354935931
201101278,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935936/original.jpg,https://www.inaturalist.org/photos/354935936,2024-03-03T00:30:00Z,sylphng,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,sylphng,354935936
201101281,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935961/original.jpg,https://www.inaturalist.org/photos/354935961,2024-02-15T09:59:44Z,Jarah Marginata,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Jarah Marginata,354935961
201101282,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935940/original.jpg,https://www.inaturalist.org/photos/354935940,2024-03-01T23:49:05Z,smfang,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,smfang,354935940
201101283,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/354935937/original.jpeg,https://www.inaturalist.org/photos/354935937,2020-11-01T14:58:42-08:00,belugagirl2024,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,belugagirl2024,354935937
