inputName,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym
Passiflora foetida L.,2874211.0,Passiflora foetida L.,Passiflora foetida,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora foetida,6.0,7707728.0,220.0,1414.0,2378.0,2874172.0,2874211.0,
Passiflora incarnata L.,2874218.0,Passiflora incarnata L.,Passiflora incarnata,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora incarnata,6.0,7707728.0,220.0,1414.0,2378.0,2874172.0,2874218.0,
Passiflora laurifolia L.,2874210.0,Passiflora laurifolia L.,Passiflora laurifolia,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora laurifolia,6.0,7707728.0,220.0,1414.0,2378.0,2874172.0,2874210.0,
Passiflora moluccana Reinw. ex Blume var. teysmanniana (Miq.) W. Wilde,3586848.0,Passiflora moluccana var. teysmanniana (Miq.) W.J.de Wilde,Passiflora moluccana teysmanniana,VARIETY,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora moluccana,6.0,7707728.0,220.0,1414.0,2378.0,2874172.0,7313377.0,
Passiflora quadrangularis L.,2874183.0,Passiflora quadrangularis L.,Passiflora quadrangularis,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora quadrangularis,6.0,7707728.0,220.0,1414.0,2378.0,2874172.0,2874183.0,
Passiflora wilsonii Hemsl.,3587992.0,Passiflora wilsonii Hemsl.,Passiflora wilsonii,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora wilsonii,6.0,7707728.0,220.0,1414.0,2378.0,2874172.0,3587992.0,
Patrinia scabiosaefolia Link,6058841.0,Patrinia scabiosifolia Link,Patrinia scabiosifolia,SPECIES,DOUBTFUL,97.0,FUZZY,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Patrinia,Patrinia scabiosifolia,6.0,7707728.0,220.0,946.0,6710.0,3234647.0,6058841.0,
Patrinia villosa (Thunb.) Juss.,6058838.0,Patrinia villosa (Thunb.) Juss.,Patrinia villosa,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Patrinia,Patrinia villosa,6.0,7707728.0,220.0,946.0,6710.0,3234647.0,6058838.0,
Pauldopia ghorta (G. Don) Steen.,4093224.0,Pauldopia ghorta (Buch.-Ham. ex G.Don) Steenis,Pauldopia ghorta,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Pauldopia,Pauldopia ghorta,6.0,7707728.0,220.0,408.0,6655.0,7298597.0,4093224.0,
Paulownia fargesii Franch.,3727084.0,Paulownia fargesii Franch.,Paulownia fargesii,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Paulowniaceae,Paulownia,Paulownia fargesii,6.0,7707728.0,220.0,408.0,4896863.0,3170822.0,3727084.0,
Paulownia fortunei (Seem.) Hemsl.,3727077.0,Paulownia fortunei (Seem.) Hemsl.,Paulownia fortunei,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Paulowniaceae,Paulownia,Paulownia fortunei,6.0,7707728.0,220.0,408.0,4896863.0,3170822.0,3727077.0,
Pavetta hongkongensis Bremek.,2924656.0,Pavetta hongkongensis Bremek.,Pavetta hongkongensis,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Pavetta,Pavetta hongkongensis,6.0,7707728.0,220.0,412.0,8798.0,2924499.0,2924656.0,
Pavetta indica L.,2924801.0,Pavetta indica L.,Pavetta indica,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Pavetta,Pavetta indica,6.0,7707728.0,220.0,412.0,8798.0,2924499.0,2924801.0,
Pavetta indica L. var. canescens Pitard,2924628.0,Pavetta indica var. canescens Pit.,Pavetta indica canescens,VARIETY,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Pavetta,Pavetta tomentosa,6.0,7707728.0,220.0,412.0,8798.0,2924499.0,2924821.0,
Pavonia repanda (Roxb.) Spreng. Phamh.,5618435.0,Pavonia repanda (Roxb. ex Sm.) Spreng.,Pavonia repanda,SPECIES,SYNONYM,83.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Urena,Urena repanda,6.0,7707728.0,220.0,941.0,6685.0,3152250.0,7776337.0,
Pavonia rigida (Mast.) Hochr. apud.,8093616.0,Pavonia rigida (Wall. ex Mast.) Hochr.,Pavonia rigida,SPECIES,SYNONYM,98.0,HIGHERRANK,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Urena,Urena repanda,6.0,7707728.0,220.0,941.0,6685.0,3152250.0,7776337.0,
