id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1460992,"Cupped Wax Plant, Hanging Wax-plant, String Of Beans",Hoya linearis,Wall. ex D.Don,7410932,98540-1,
1783530,,Hoya lobbii,Hook.f.,3573588,98542-1,
1420272,String-bean-plant,Hoya longifolia,Wall. ex Wight,7918450,98543-1,
1789418,,Hoya loyceandrewsiana,T.Green,3573553,60447849-2,
1773290,,Hoya manipurensis,Deb,3573458,98553-1,
1787794,,Hoya micrantha,Hook.f.,3573342,98565-1,
1428873,Shooting-star hoya,Hoya multiflora,Blume,3573230,98577-1,
1789420,,Hoya obovata,Decne.,3573084,98591-1,
1787797,,Hoya pachyclada,Kerr,3572856,98609-1,
1728821,,Hoya serpens,Hook.f.,3572075,98692-1,
1718782,"Ridley's hoya, Waxflower, Waxplant, Waxvine",Hoya verticillata,(Vahl) G.Don,7311750,98729-1,
1777335,,Hultholia mimosoides,(Lam.) Gagnon & G.P.Lewis,9362258,77158068-1,LC
1418380,"Japanese Hop, Wild Hop, Asian hop",Humulus scandens,(Lour.) Merr.,2984537,584308-1,
1720346,,Huperzia carinata,(Desv.) Trevis.,3991701,169757-3,
1721960,,Huperzia fordii,(Baker) R.D.Dixit,7629865,17515810-1,
1790200,"Common tassel fern, Norfolk Pine",Huperzia goebelii,(Nessel) Holub,3992249,17517350-1,
1720774,Tassel fern,Huperzia nummulariifolia,(Blume) Jermy,3990698,17440770-1,
1408195,"Tassel fern, Common tassel fern, Coarse Tassel Fern",Huperzia phlegmaria,(L.) Rothm.,3992164,169764-3,
1720349,Daggerleaf clubmoss,Huperzia phyllantha,(Hook. & Arn.) Holub,2688499,17518040-1,
1408197,Rock tassel fern,Huperzia squarrosa,(G.Forst.) Trevis.,3990894,1136473-2,
1720351,,Huperzia tetrasticha,(Kunze ex Alderw.) Holub,8672748,17518460-1,
1720044,,Hydnocarpus castaneus,Hook.f. & Thomson,3878251,111741-1,LC
