Tên khoa học,Tên tiếng Việt,Phân bố,File,Tên đồng nghĩa,Họ,Họ thực vật,speciesKey
Hedera sinensis (Tobl.) Hand.-Mazz. – Hedera himalaica var. sinensis Tobl.; H. nepalensis K. Koch var. sinensis (Tobl.) Rehd,"Bách cước ngô công, Dây thường xuân","Lào Cai, Hà Giang, Lai Châu. Cây mọc tự nhiên rải rác trong rừng thưa, ở độ cao tới 2000 m",hedera-sinensis-tobl-hand-mazz.txt,,,Araliaceae,3036057
Paliurus ramosissimus (Lour.) Poir. – Aubletia ramosissima Lour,Táo na,Cây mọc tự nhiên rải rác ở rừng thứ sinh các tỉnh trung du miền Bắc,paliurus-ramosissimus-lour-poir.txt,,,Rhamnaceae,5603062
Senecio nagensium C. B. Clarke,"Thiên lý quang trắng, Vi hoàng lông","Lai Châu, Lao Cai (Sa Pa), Hà Giang, Sơn La. Cây mọc tự nhiên trên các trảng cỏ và trảng cây bụi, ở độ cao 1000-2100 m",senecio-nagensium-c-b-clarke.txt,,,Asteraceae,5402685
Piper nigrum L,"Hồ tiêu, Tiêu, Hạt tiêu, Mạy lòi (Tày)",Cây trồng phổ biến ở các tỉnh miền Trung và miền Nam,piper-nigrum-l.txt,,,Piperaceae,3086357
Dysoxylum loureiri (Pierre) Pierre – Epicharis loureiri Pierre,Huỳnh đằng,"Ninh Bình (Cúc Phương), Nghệ An, Tây Ninh. Cây mọc tự nhiên trong rừng rậm thường xanh, rừng thứ sinh.",dysoxylum-loureiri-pierre-pierre.txt,,Xoan (Meliaceae),,3849550
Orophea polycarpa A. DC. – O. undulata pierre,Tháp hình nhiều trái,"Thừa Thiên Huế, Đắk Lắk, Đồng Nai (Biên Hoà). Cây mọc tự nhiên rải rác trong rừng thứ sinh",orophea-polycarpa-a-dc.txt,,,Annonaceae,3157950
Pseudosasa amabilis (McClure) Keng f. – Arundinaria amabilis Mc Clure,Trúc bắc bộ,Miền Bắc Việt Nam. Cây mọc tự nhiên.,arundinaria-amabilis-mar-clure.txt,,,Poaceae,4151147
Viscum ovalifolium Wall. ex DC,Gi lá xoan,"Quảng Ninh, Hà Nội (Ba Vì), Nghệ An, Đà Nẵng, Bình Dương. Cây mọc bán kí sinh trên cành các cây gỗ lớn",viscum-ovalifolium-wall-ex-dc.txt,,,Viscaceae,7797285
Cyperus rotundus L,"Củ gấu. Tên gọi khác Cỏ gấu, Hương phụ, Cỏ cú, Nhả chông mu (Tày), Sa thảo",Cây mọc tự nhiên phổ biến khắp Việt Nam,cyperus-rotundus-l.txt,,Cói (Cyperaceae),,2714818
Spilanthes oleracea L. – S. acmella (L.) Murr. var. oleracea (L.) C.B.Clarke,"Cúc áo hoa vàng, Nút áo, Cúc lác, Phiắc khát (Tày), Co nhả hàn (Thái), Cuồng trầm","Cây ưa ẩm, mọc tự nhiênkhắp nơi",spilanthes-oleracea.txt,,Cúc (Asteraceae),,5386764
Equisetum diffusum D.Don,"Mộc tặc, Cỏ tháp bút, Búa lọ, Phì nọi, Co sáp pít (Thái)","Khá hẹp. Cây mọc tự nhiên ở một số vùng núi chủ yếu cao từ 900 m trở lên, như Lào Cai, Hà Giang, Cao Bằng, Hòa Bình",equisetum-diffusum-d-don.txt,,,Equisetaceae,7924597
Aristolochia tagala Chamisso. – A. roxburghiana Klotsch,"Dây khố rách, Phi hùng, Thiên tiên đằng, Phòng kỷ, Cuốp ma (Hmông)","Lạng Sơn, Cao Bằng, Phú Thọ. Cây mọc tự nhiên",aristolochia-tagala-chamisso.txt,,Mộc Hương (Aristolochiaceae),,8207569
Eragrostis cilianensis (All.) Janch,"Tinh thảo hôi, Cỏ chàm","Quảng Ninh, Hưng Yên, Bắc Ninh, Ninh Thuận. Cây mọc tự nhiên trên bãi hoang, ven đường",eragrostis-cilianensis-all-link-ex-vignolo-lutati.txt,,,Poaceae,2705369
Miliusa balansae Fin. et Gagnep,"Mại liễu, Song môi","Hải Dương (Chí Linh), Vĩnh Phúc, Hoà Bình. Cây mọc tự nhiên dưới tán rừng nguyên sinh, ở độ cao 200-500 m",miliusa-balansae-fin-et-gagnep.txt,,,Annonaceae,3156581
Polygonum glabrum Willd,"Nghể, Nghể nhẵn","Cây mọc tự nhiên, phổ biến ven ao hồ ở nước ta",polygonum-glabrum-willd.txt,,,Polygonaceae,6391450
Solanum ferox L,"Cà dữ, Cà trời","Gia Lai (Chư Prông, Kon Hà Nừng), Khánh Hòa (Nha Trang), Đồng Nai (Biên Hòa). Cây mọc tự nhiên, rải rác trên các bãi hoang, ven đường, ở độ cao 100-1.500 m",solanum-ferox-l.txt,,Cà (Solanaceae),,
Kalanchoe crenata (Andr.) Haw.; K. spathulata DC,"Trường sinh lá to, Trường sinh lá muổng","Hà Giang, Ninh Bình, Kiên Giang. Cây mọc tự nhiên, còn được trồng làm cảnh",kalanchoe-crenata-andr-haw-k-spathulata-dc.txt,,,Crassulaceae,6441622
Senna floribunda (Cav.) Irwin & Barneby – Cassia floribunda Cav,Muồng nhiều hoa,"Lào Cai, Quảng Ninh, Ninh Bình, Lâm Đồng. Cây mọc tự nhiên ở ven đường, ở độ cao tới 1500 m. Cây có nguồn gốc ở Nam Mỹ, du nhập vào Việt Nam.",senna-floribunda-cav-irwin-cassia-floribunda-cav.txt,,,Caesalpiniaceae,2957241
Borreria articularis (L. f.) F. Williams,Ruột gà có khớp,"Cây mọc tự nhiên trên đất khô, ven đường phổ biến ở nước ta",borreria-articularis-l-f-f-williams.txt,,,Rubiaceae,2918203
Desmodium gangeticum (L.) DC. – Hedysarum gangeticum L,"Thóc lép, Bài ngài, Cỏ cháy","Cây mọc tự nhiên ở các bãi cỏ, ven đường đi từ Bắc tới Nam",desmodium-gangeticum-l-dc.txt,,,Fabaceae,11440699
Illigera rhodantha var. dunniana (H. Lév.) Kubitzki – Illigera dunniana Levl,"Dây chẽ ba, Dây xanh, Đáp hy, Bún thiu, Khau trần (Tày), Cây đan","Lao Cai, Quảng Ninh, Tuyên Quang, Hòa Bình, Hà Nội, Kon Tum, Tây Ninh. Cây mọc tự nhiên rải rác trong rừng thưa, ven rừng, ở độ cao 150-1500 m",illigera-dunniana-levl-i-rhodantha-hance.txt,,,Họ Liên diệp đồng (Hernandiaceae),7326434
Erianthus arundinaceus (Retz.) Jeswiel,"Lau sậy, Sậy, Đót","Cây mọc tự nhiên ở sườn núi, bờ, khe suối, phổ biến ở vùng núi phía Bắc Việt Nam.",erianthus-arundinaceus-retz-jeswiel.txt,,,Poaceae,10832044
